"year","obs","ghg","nat","aer"
1850,-0.418,-0.05572509765625,-0.043914794921875,-0.03338623046875
1851,-0.233,-0.06805419921875,-0.02972412109375,-0.042724609375
1852,-0.229,-0.065643310546875,-0.024871826171875,-0.03057861328125
1853,-0.27,-0.045501708984375,-0.04693603515625,-0.0208740234375
1854,-0.292,-0.059295654296875,-0.065582275390625,-0.023162841796875
1855,-0.297,-0.05670166015625,-0.04290771484375,-0.024688720703125
1856,-0.32,-0.047332763671875,-0.009552001953125,-0.028106689453125
1857,-0.467,-0.0765380859375,-0.01824951171875,-0.00213623046875
1858,-0.389,-0.08251953125,-0.02166748046875,-0.03076171875
1859,-0.281,-0.06744384765625,-0.03070068359375,-0.017486572265625
1860,-0.39,-0.060272216796875,-0.031829833984375,0.00262451171875
1861,-0.429,-0.082000732421875,-0.04901123046875,-0.032196044921875
1862,-0.536,-0.06103515625,-0.116424560546875,-0.013916015625
1863,-0.344,-0.061676025390625,-0.09576416015625,-0.0238037109375
1864,-0.465,-0.046417236328125,-0.0894775390625,-0.032379150390625
1865,-0.332,-0.030487060546875,-0.06170654296875,-0.03546142578125
1866,-0.341,-0.01971435546875,-0.06427001953125,-0.041717529296875
1867,-0.357,-0.022247314453125,-0.05029296875,-0.04473876953125
1868,-0.352,-0.02099609375,-0.044219970703125,-0.04864501953125
1869,-0.317,-0.02423095703125,-0.0545654296875,-0.04803466796875
1870,-0.328,-0.037200927734375,-0.034698486328125,-0.03497314453125
1871,-0.369,-0.021392822265625,-0.02587890625,-0.026580810546875
1872,-0.328,0.011444091796875,-0.024017333984375,-0.02239990234375
1873,-0.341,0.00927734375,-0.03955078125,-0.049957275390625
1874,-0.373,0.001220703125,-0.036163330078125,-0.040008544921875
1875,-0.376,-0.003814697265625,-0.045562744140625,-0.047943115234375
1876,-0.424,-0.01129150390625,-0.04736328125,-0.057159423828125
1877,-0.101,-0.001983642578125,-0.031585693359375,-0.02972412109375
1878,-0.011,-0.00201416015625,-0.02081298828125,-0.031494140625
1879,-0.304,0.027618408203125,-0.053131103515625,-0.027984619140625
1880,-0.316,0.057586669921875,-0.047119140625,-0.028961181640625
1881,-0.232,0.0487060546875,-0.055206298828125,-0.03924560546875
1882,-0.296,0.032440185546875,-0.05426025390625,-0.02313232421875
1883,-0.346,0.02813720703125,-0.063720703125,-0.0540771484375
1884,-0.492,0.02398681640625,-0.3182373046875,-0.064178466796875
1885,-0.471,0.0654296875,-0.272430419921875,-0.056915283203125
1886,-0.421,0.08538818359375,-0.202606201171875,-0.062286376953125
1887,-0.499,0.049560546875,-0.155303955078125,-0.05804443359375
1888,-0.379,0.0633544921875,-0.1309814453125,-0.028717041015625
1889,-0.25,0.076416015625,-0.077728271484375,-0.0567626953125
1890,-0.507,0.084747314453125,-0.0927734375,-0.0648193359375
1891,-0.401,0.045745849609375,-0.13824462890625,-0.0537109375
1892,-0.508,0.052032470703125,-0.110748291015625,-0.087921142578125
1893,-0.495,0.082611083984375,-0.0758056640625,-0.0653076171875
1894,-0.484,0.08892822265625,-0.0789794921875,-0.05743408203125
1895,-0.449,0.092498779296875,-0.068267822265625,-0.052093505859375
1896,-0.284,0.075469970703125,-0.06475830078125,-0.118377685546875
1897,-0.26,0.062957763671875,-0.069122314453125,-0.108978271484375
1898,-0.486,0.089385986328125,-0.060455322265625,-0.100738525390625
1899,-0.355,0.095855712890625,-0.03985595703125,-0.123565673828125
1900,-0.234,0.123321533203125,-0.042510986328125,-0.127655029296875
1901,-0.293,0.141693115234375,-0.05712890625,-0.1329345703125
1902,-0.439,0.119171142578125,-0.042236328125,-0.1483154296875
1903,-0.533,0.12347412109375,-0.19049072265625,-0.161865234375
1904,-0.598,0.12255859375,-0.145538330078125,-0.14044189453125
1905,-0.408,0.134490966796875,-0.113311767578125,-0.139068603515625
1906,-0.319,0.122802734375,-0.08074951171875,-0.153717041015625
1907,-0.504,0.159088134765625,-0.087158203125,-0.1790771484375
1908,-0.514,0.171295166015625,-0.07476806640625,-0.176666259765625
1909,-0.536,0.1533203125,-0.039093017578125,-0.198211669921875
1910,-0.531,0.163330078125,-0.052490234375,-0.19451904296875
1911,-0.539,0.168792724609375,-0.041961669921875,-0.180084228515625
1912,-0.476,0.196136474609375,-0.136810302734375,-0.166168212890625
1913,-0.467,0.206817626953125,-0.159698486328125,-0.18023681640625
1914,-0.262,0.18670654296875,-0.1160888671875,-0.208404541015625
1915,-0.192,0.194305419921875,-0.059906005859375,-0.188079833984375
1916,-0.42,0.179168701171875,-0.07635498046875,-0.197601318359375
1917,-0.543,0.18853759765625,-0.059722900390625,-0.2054443359375
1918,-0.424,0.227142333984375,-0.039215087890625,-0.22222900390625
1919,-0.325,0.226043701171875,-0.038330078125,-0.228363037109375
1920,-0.298,0.201904296875,-0.0103759765625,-0.2193603515625
1921,-0.24,0.2181396484375,0.00469970703125,-0.226165771484375
1922,-0.339,0.2288818359375,-0.023406982421875,-0.217254638671875
1923,-0.318,0.246734619140625,-0.018798828125,-0.2430419921875
1924,-0.312,0.265777587890625,-0.01318359375,-0.24835205078125
1925,-0.282,0.295318603515625,-0.017852783203125,-0.23333740234375
1926,-0.123,0.2850341796875,-0.019287109375,-0.228668212890625
1927,-0.229,0.310028076171875,-0.001617431640625,-0.219146728515625
1928,-0.206,0.283538818359375,-0.0216064453125,-0.21722412109375
1929,-0.392,0.263885498046875,-0.04217529296875,-0.227508544921875
1930,-0.177,0.29498291015625,-0.0235595703125,-0.228607177734375
1931,-0.103,0.302581787109375,-0.0252685546875,-0.210968017578125
1932,-0.145,0.2889404296875,-0.03631591796875,-0.208526611328125
1933,-0.322,0.300018310546875,-0.04986572265625,-0.226470947265625
1934,-0.174,0.312652587890625,-0.02655029296875,-0.250274658203125
1935,-0.206,0.308990478515625,0.000244140625,-0.23553466796875
1936,-0.17,0.321136474609375,0.01898193359375,-0.238739013671875
1937,-0.019,0.321563720703125,0.01153564453125,-0.227996826171875
1938,-0.012,0.307098388671875,0.027679443359375,-0.22613525390625
1939,-0.041,0.312408447265625,0.0068359375,-0.262908935546875
1940,0.076,0.318206787109375,0.01300048828125,-0.271636962890625
1941,0.038,0.3436279296875,0.005828857421875,-0.24163818359375
1942,0.001,0.34039306640625,0.004241943359375,-0.23846435546875
1943,0.006,0.351043701171875,0.021820068359375,-0.258880615234375
1944,0.144,0.35015869140625,-0.00262451171875,-0.2862548828125
1945,0.043,0.34381103515625,0.0279541015625,-0.283050537109375
1946,-0.119,0.36407470703125,0.042724609375,-0.263885498046875
1947,-0.091,0.365570068359375,0.027587890625,-0.264495849609375
1948,-0.125,0.359619140625,0.007080078125,-0.291015625
1949,-0.144,0.326629638671875,0.010650634765625,-0.285430908203125
1950,-0.227,0.32470703125,-0.02008056640625,-0.30181884765625
1951,-0.061,0.364044189453125,-0.000244140625,-0.29998779296875
1952,0.015,0.363525390625,0.009613037109375,-0.3199462890625
1953,0.078,0.375579833984375,0.0078125,-0.317138671875
1954,-0.117,0.37225341796875,0.008087158203125,-0.33087158203125
1955,-0.197,0.3817138671875,-0.0003662109375,-0.317779541015625
1956,-0.263,0.403564453125,-0.004119873046875,-0.3330078125
1957,-0.035,0.434844970703125,0.032318115234375,-0.370697021484375
1958,-0.018,0.386627197265625,0.013336181640625,-0.362213134765625
1959,-0.048,0.39239501953125,0.03265380859375,-0.379730224609375
1960,-0.115,0.42474365234375,0.048095703125,-0.3829345703125
1961,-0.02,0.427276611328125,0.04827880859375,-0.41363525390625
1962,-0.064,0.443817138671875,0.009979248046875,-0.433807373046875
1963,-0.037,0.4451904296875,-0.05682373046875,-0.450286865234375
1964,-0.306,0.474334716796875,-0.147796630859375,-0.459197998046875
1965,-0.204,0.4697265625,-0.142486572265625,-0.45758056640625
1966,-0.149,0.449249267578125,-0.107818603515625,-0.46734619140625
1967,-0.118,0.47454833984375,-0.102203369140625,-0.4935302734375
1968,-0.169,0.519134521484375,-0.07696533203125,-0.5125732421875
1969,-0.031,0.510894775390625,-0.064178466796875,-0.51910400390625
1970,-0.085,0.551025390625,-0.049896240234375,-0.521026611328125
1971,-0.206,0.591644287109375,-0.02130126953125,-0.544830322265625
1972,-0.094,0.580841064453125,-0.021575927734375,-0.56103515625
1973,0.05,0.59649658203125,-0.018157958984375,-0.5657958984375
1974,-0.173,0.6356201171875,-0.027984619140625,-0.56463623046875
1975,-0.111,0.6275634765625,-0.093902587890625,-0.53839111328125
1976,-0.216,0.64886474609375,-0.0863037109375,-0.59735107421875
1977,0.103,0.6790771484375,-0.06817626953125,-0.59503173828125
1978,0.005,0.68756103515625,-0.0379638671875,-0.590576171875
1979,0.091,0.6895751953125,-0.0057373046875,-0.617279052734375
1980,0.196,0.71209716796875,-0.0113525390625,-0.64776611328125
1981,0.25,0.759063720703125,0.000335693359375,-0.63983154296875
1982,0.034,0.7955322265625,-0.064300537109375,-0.6448974609375
1983,0.224,0.84063720703125,-0.164947509765625,-0.653411865234375
1984,0.048,0.863555908203125,-0.151580810546875,-0.635650634765625
1985,0.05,0.891998291015625,-0.117523193359375,-0.647857666015625
1986,0.096,0.908935546875,-0.121856689453125,-0.67779541015625
1987,0.243,0.94769287109375,-0.106964111328125,-0.66046142578125
1988,0.282,0.942230224609375,-0.08099365234375,-0.641143798828125
1989,0.179,0.984466552734375,-0.037322998046875,-0.6912841796875
1990,0.361,1.01797485351562,-0.037567138671875,-0.69390869140625
1991,0.339,1.04901123046875,-0.089752197265625,-0.6666259765625
1992,0.125,1.07247924804688,-0.286041259765625,-0.6787109375
1993,0.166,1.08245849609375,-0.261138916015625,-0.680206298828125
1994,0.234,1.102783203125,-0.19757080078125,-0.692474365234375
1995,0.377,1.14462280273438,-0.168182373046875,-0.693572998046875
1996,0.277,1.15313720703125,-0.13409423828125,-0.69757080078125
1997,0.422,1.18109130859375,-0.11895751953125,-0.6922607421875
1998,0.577,1.16534423828125,-0.086700439453125,-0.699249267578125
1999,0.324,1.20193481445312,-0.069732666015625,-0.6790771484375
2000,0.331,1.21649169921875,-0.039215087890625,-0.640411376953125
2001,0.489,1.24267578125,-0.037139892578125,-0.61529541015625
2002,0.543,1.2735595703125,-0.0350341796875,-0.64117431640625
2003,0.544,1.32156372070312,-0.037689208984375,-0.652252197265625
2004,0.467,1.34423828125,-0.0350341796875,-0.66278076171875
2005,0.607,1.3485107421875,-0.0491943359375,-0.661651611328125
2006,0.573,1.36480712890625,-0.042938232421875,-0.6416015625
2007,0.592,1.37557983398438,-0.045806884765625,-0.662445068359375
2008,0.466,1.37570190429688,-0.03594970703125,-0.682830810546875
2009,0.597,1.39993286132812,-0.0439453125,-0.6678466796875
2010,0.68,1.42095947265625,-0.033721923828125,-0.68359375
2011,0.538,1.4561767578125,-0.0538330078125,-0.675140380859375
2012,0.578,1.48800659179688,-0.05279541015625,-0.65679931640625
2013,0.624,1.52484130859375,-0.011016845703125,-0.658538818359375
2014,0.673,1.52523803710938,0.0069580078125,-0.67413330078125
